Municipio o delegación,Entidad federativa,Latitud,Longitud
PETATLÁN,GUERRERO,17.56809577,-101.34650544
MEXQUITIC DE CARMONA,SAN LUIS POTOSÍ,22.26663663,-101.11414665
PANINDÍCUARO,MICHOACÁN DE OCAMPO,19.98209729,-101.76103059
TECPATÁN,CHIAPAS,17.13719533,-93.31036947
JONACATEPEC DE LEANDRO VALLE,MORELOS,18.68106087,-98.80258213
CANATLÁN,DURANGO,24.52774587,-104.77633025
MADERA,CHIHUAHUA,29.19650367,-108.14438463
SAN LUCAS,MICHOACÁN DE OCAMPO,18.36559361,-100.66299543
TAMASOPO,SAN LUIS POTOSÍ,21.92323426,-99.39274897
IXCATEPEC,VERACRUZ DE IGNACIO DE LA LLAVE,21.23501212,-98.00869259
VILLA DE REYES,SAN LUIS POTOSÍ,21.8030383,-100.93342751
SAN AGUSTÍN TLAXIACA,HIDALGO,20.11819522,-98.88581949
CHICONTEPEC,VERACRUZ DE IGNACIO DE LA LLAVE,20.97174153,-98.17062028
NUEVO IDEAL,DURANGO,24.88932164,-105.07311705
ZIHUATANEJO DE AZUETA,GUERRERO,17.65097764,-101.54662958
ZIHUATANEJO DE AZUETA,GUERRERO,17.6451456,-101.55834275
ZIHUATANEJO DE AZUETA,GUERRERO,17.64327035,-101.55530213
ATZALAN,VERACRUZ DE IGNACIO DE LA LLAVE,19.78826993,-97.24327334
JALACINGO,VERACRUZ DE IGNACIO DE LA LLAVE,19.80488159,-97.30861857
LERDO,DURANGO,25.53963003,-103.54018868
LERDO,DURANGO,25.54340217,-103.52276788
LERDO,DURANGO,25.5357435,-103.52394715
LERDO,DURANGO,25.53644863,-103.52371843
LERDO,DURANGO,25.53741399,-103.52443759
LERDO,DURANGO,25.53960236,-103.50962551
ATOTONILCO EL GRANDE,HIDALGO,20.28687484,-98.66958072
SAN ANTONIO DE LA CAL,OAXACA,17.02465432,-96.70921236
JALPAN DE SERRA,QUERÉTARO,21.22062279,-99.47568659
TAMAZULA DE GORDIANO,JALISCO,19.69011128,-103.34016329
VILLA DE ZAACHILA,OAXACA,16.95188729,-96.75109397
TEPEJI DEL RÍO DE OCAMPO,HIDALGO,19.94424596,-99.28560229
TEPEJI DEL RÍO DE OCAMPO,HIDALGO,19.90748044,-99.3404099
CHILAPA DE ÁLVAREZ,GUERRERO,17.59498867,-99.18051953
GÓMEZ PALACIO,DURANGO,25.59391727,-103.50473826
GÓMEZ PALACIO,DURANGO,25.5950674,-103.49807267
GÓMEZ PALACIO,DURANGO,25.56408055,-103.49402732
GÓMEZ PALACIO,DURANGO,25.57143943,-103.52335254
TECOZAUTLA,HIDALGO,20.54397511,-99.63836446
SINALOA,SINALOA,25.82274386,-108.22131914
FRANCISCO I. MADERO,COAHUILA DE ZARAGOZA,25.76787571,-103.27276027
FRANCISCO I. MADERO,COAHUILA DE ZARAGOZA,25.77704092,-103.27248066
SILAO DE LA VICTORIA,GUANAJUATO,20.96035053,-101.42088961
SILAO DE LA VICTORIA,GUANAJUATO,20.96268683,-101.44553455
SILAO DE LA VICTORIA,GUANAJUATO,21.02049473,-101.4764147
CHILPANCINGO DE LOS BRAVO,GUERRERO,17.54941512,-99.5127769
CHILPANCINGO DE LOS BRAVO,GUERRERO,17.54978501,-99.49869065
TLATLAUQUITEPEC,PUEBLA,19.69631859,-97.53371254
TLATLAUQUITEPEC,PUEBLA,19.82896278,-97.50023594
ACTOPAN,HIDALGO,20.26983514,-98.94174493
ACTOPAN,HIDALGO,20.2690689,-98.94625931
ZACUALTIPÁN DE ÁNGELES,HIDALGO,20.64717998,-98.65629938
RAFAEL LARA GRAJALES,PUEBLA,19.2268393,-97.8041297
CIUDAD VALLES,SAN LUIS POTOSÍ,21.97928556,-99.01507166
CIUDAD VALLES,SAN LUIS POTOSÍ,21.98502565,-99.0137095
CIUDAD VALLES,SAN LUIS POTOSÍ,21.98435583,-99.01649214
MANZANILLO,COLIMA,19.12526107,-104.33951236
MANZANILLO,COLIMA,19.0682076,-104.28549815
MATAMOROS,TAMAULIPAS,25.85661553,-97.47978984
MATAMOROS,TAMAULIPAS,25.87705331,-97.50345832
MATAMOROS,TAMAULIPAS,25.8823813,-97.50871373
MATAMOROS,TAMAULIPAS,25.88230448,-97.50869576
MATAMOROS,TAMAULIPAS,25.88728644,-97.53980352
MATAMOROS,TAMAULIPAS,25.96113792,-97.80976221
MATAMOROS,TAMAULIPAS,25.86061623,-97.48163611
MATAMOROS,TAMAULIPAS,25.83157689,-97.44748083
MATAMOROS,TAMAULIPAS,25.87910646,-97.50629048
MATAMOROS,TAMAULIPAS,25.86961997,-97.4956706
MATAMOROS,TAMAULIPAS,25.84114271,-97.49385715
MATAMOROS,TAMAULIPAS,25.85631217,-97.49120156
MATAMOROS,TAMAULIPAS,25.87323503,-97.49949336
MATAMOROS,TAMAULIPAS,25.85651401,-97.47914977
MATAMOROS,TAMAULIPAS,25.82918775,-97.47452634
TEHUACÁN,PUEBLA,18.47226725,-97.43362799
TEHUACÁN,PUEBLA,18.47428555,-97.41107202
TEHUACÁN,PUEBLA,18.49745577,-97.41298234
TEHUACÁN,PUEBLA,18.46078643,-97.39043184
ZITÁCUARO,MICHOACÁN DE OCAMPO,19.43264655,-100.36075982
ZITÁCUARO,MICHOACÁN DE OCAMPO,19.43316178,-100.36391611
CHIHUAHUA,CHIHUAHUA,28.62521515,-106.07625649
CHIHUAHUA,CHIHUAHUA,28.64488454,-106.07382855
CHIHUAHUA,CHIHUAHUA,28.66470856,-106.12768982
ÁLVARO OBREGÓN,CIUDAD DE MÉXICO,19.39779486,-99.20028635
ÁLVARO OBREGÓN,CIUDAD DE MÉXICO,19.39779486,-99.20028635
ÁLVARO OBREGÓN,CIUDAD DE MÉXICO,19.39376762,-99.21020139
ÁLVARO OBREGÓN,CIUDAD DE MÉXICO,19.30487749,-99.26886487
MIGUEL HIDALGO,CIUDAD DE MÉXICO,19.45596108,-99.18793491
MIGUEL HIDALGO,CIUDAD DE MÉXICO,19.38714222,-99.24785032
MIGUEL HIDALGO,CIUDAD DE MÉXICO,19.45798618,-99.20909076
SAN NICOLÁS DE LOS GARZA,NUEVO LEÓN,25.73778293,-100.31419944
SAN NICOLÁS DE LOS GARZA,NUEVO LEÓN,25.73226469,-100.2252792
SAN NICOLÁS DE LOS GARZA,NUEVO LEÓN,25.75578881,-100.29009097
SAN NICOLÁS DE LOS GARZA,NUEVO LEÓN,25.7237231,-100.27384481
TORREÓN,COAHUILA DE ZARAGOZA,25.50472704,-103.39492067
TORREÓN,COAHUILA DE ZARAGOZA,25.51991784,-103.40127428
TORREÓN,COAHUILA DE ZARAGOZA,25.56917351,-103.43441594
TONALÁ,JALISCO,20.66984017,-103.22174138
TONALÁ,JALISCO,20.6336214,-103.25119128
COYOACÁN,CIUDAD DE MÉXICO,19.32434133,-99.12468595
COYOACÁN,CIUDAD DE MÉXICO,19.3135797,-99.14541958
COYOACÁN,CIUDAD DE MÉXICO,19.33724683,-99.1849111
COYOACÁN,CIUDAD DE MÉXICO,19.33585135,-99.14167311
DURANGO,DURANGO,23.9959781,-104.67624904
DURANGO,DURANGO,24.03916597,-104.68621972
DURANGO,DURANGO,24.0071922,-104.69130089
DURANGO,DURANGO,24.02326967,-104.65236014
MILPA ALTA,CIUDAD DE MÉXICO,19.21030368,-98.96866923
MILPA ALTA,CIUDAD DE MÉXICO,19.18889105,-99.01918355
MILPA ALTA,CIUDAD DE MÉXICO,19.20765516,-99.06713539
ENSENADA,BAJA CALIFORNIA,31.79744557,-116.58801587
ENSENADA,BAJA CALIFORNIA,31.87283623,-116.62667414
SANTIAGO IXCUINTLA,NAYARIT,21.70273127,-105.37520691
SANTIAGO IXCUINTLA,NAYARIT,21.74134492,-105.23398015
TLALNEPANTLA DE BAZ,MÉXICO,19.54684597,-99.16830964
TLALNEPANTLA DE BAZ,MÉXICO,19.52609155,-99.10427156
TLALNEPANTLA DE BAZ,MÉXICO,19.53970761,-99.23449733
TLALPAN,CIUDAD DE MÉXICO,19.29188874,-99.11932119
TLALPAN,CIUDAD DE MÉXICO,19.29801052,-99.11976574
XOCHIMILCO,CIUDAD DE MÉXICO,19.24451411,-99.09302644
XOCHIMILCO,CIUDAD DE MÉXICO,19.25562502,-99.0587338
XOCHIMILCO,CIUDAD DE MÉXICO,19.2502994,-99.05217377
XOCHIMILCO,CIUDAD DE MÉXICO,19.25135322,-99.02831375
VICTORIA,TAMAULIPAS,23.73156017,-99.08924763
VICTORIA,TAMAULIPAS,23.73042686,-99.14062771
VICTORIA,TAMAULIPAS,23.72822511,-99.15805532
VICTORIA,TAMAULIPAS,23.72984969,-99.15776507
VICTORIA,TAMAULIPAS,23.73207993,-99.15214226
AZCAPOTZALCO,CIUDAD DE MÉXICO,19.47793065,-99.21281174
AZCAPOTZALCO,CIUDAD DE MÉXICO,19.49448954,-99.17857377
MORELIA,MICHOACÁN DE OCAMPO,19.70838359,-101.21934447
MORELIA,MICHOACÁN DE OCAMPO,19.69491337,-101.15085888
MORELIA,MICHOACÁN DE OCAMPO,19.73929991,-101.17451561
MORELIA,MICHOACÁN DE OCAMPO,19.69430561,-101.25385549
MORELIA,MICHOACÁN DE OCAMPO,19.68144371,-101.18413488
MORELIA,MICHOACÁN DE OCAMPO,19.67099101,-101.18292617
MORELIA,MICHOACÁN DE OCAMPO,19.76560401,-101.12284623
MORELIA,MICHOACÁN DE OCAMPO,19.685562,-101.18849995
ATLIXCO,PUEBLA,18.90825233,-98.43673919
ATLIXCO,PUEBLA,18.9070729,-98.43708193
HEROICA CIUDAD DE TLAXIACO,OAXACA,17.26649391,-97.67856302
HEROICA CIUDAD DE TLAXIACO,OAXACA,17.25605701,-97.67734713
TECÁMAC,MÉXICO,19.76368578,-98.96373017
TECÁMAC,MÉXICO,19.6931695,-99.00856216
IZTACALCO,CIUDAD DE MÉXICO,19.38908424,-99.10270255
IZTACALCO,CIUDAD DE MÉXICO,19.40591379,-99.0633028
JIUTEPEC,MORELOS,18.89443721,-99.17074304
JIUTEPEC,MORELOS,18.90540694,-99.16344178
JIUTEPEC,MORELOS,18.93086776,-99.18392544
JIUTEPEC,MORELOS,18.93029199,-99.17944574
JIUTEPEC,MORELOS,18.92569122,-99.17939859
TIZAYUCA,HIDALGO,19.84229454,-98.97636497
TIZAYUCA,HIDALGO,19.85183824,-98.98070543
QUERÉTARO,QUERÉTARO,20.80835279,-100.42906156
QUERÉTARO,QUERÉTARO,20.6268889,-100.41587167
QUERÉTARO,QUERÉTARO,20.58424051,-100.39969744
LA PAZ,MÉXICO,19.36923163,-98.9580462
LA PAZ,MÉXICO,19.36189037,-98.97433881
SAN JOSÉ DEL RINCÓN,MÉXICO,19.66283959,-100.14943278
PESQUERÍA,NUEVO LEÓN,25.78562104,-100.05018689
CIÉNEGA DE FLORES,NUEVO LEÓN,25.92545113,-100.18665964
SALTO DE AGUA,CHIAPAS,17.5581021,-92.33333607
JUANACATLÁN,JALISCO,20.50686237,-103.17161961
MARIANO ESCOBEDO,VERACRUZ DE IGNACIO DE LA LLAVE,18.91857188,-97.13165982
SALINAS VICTORIA,NUEVO LEÓN,25.96143,-100.29191394
MÚZQUIZ,COAHUILA DE ZARAGOZA,27.64769487,-101.28020646
LA TRINITARIA,CHIAPAS,16.11793036,-92.05289428
ASIENTOS,AGUASCALIENTES,22.1935445,-102.01927006
PUEBLO NUEVO,DURANGO,23.78060339,-105.36081492
EL CARMEN,NUEVO LEÓN,25.93889091,-100.35860916
JUÁREZ,NUEVO LEÓN,25.64679034,-100.09753418
GARCÍA,NUEVO LEÓN,25.79099803,-100.48471713
GUADALUPE Y CALVO,CHIHUAHUA,26.09016445,-106.96031787
LAS MARGARITAS,CHIAPAS,16.31552988,-91.98716838
VILLA DE ALLENDE,MÉXICO,19.37693217,-100.14821234
COATZINTLA,VERACRUZ DE IGNACIO DE LA LLAVE,20.48418487,-97.45715517
RAMOS ARIZPE,COAHUILA DE ZARAGOZA,25.55271784,-100.94075981
PURÍSIMA DEL RINCÓN,GUANAJUATO,21.02847938,-101.8786785
GENERAL ZUAZUA,NUEVO LEÓN,25.91604912,-100.16255563
CHAMULA,CHIAPAS,16.78708224,-92.69055001
ARTEAGA,COAHUILA DE ZARAGOZA,25.4499209,-100.86502923
VILLA VICTORIA,MÉXICO,19.42611993,-99.99668819
GENERAL ESCOBEDO,NUEVO LEÓN,25.80194731,-100.37424721
AJALPAN,PUEBLA,18.37883405,-97.26388693
APODACA,NUEVO LEÓN,25.76880651,-100.25197067
JESÚS MARÍA,AGUASCALIENTES,21.95100217,-102.32548868
SAN FRANCISCO DE LOS ROMO,AGUASCALIENTES,22.07891133,-102.27240117
NAVA,COAHUILA DE ZARAGOZA,28.42269373,-100.77479528
CONTEPEC,MICHOACÁN DE OCAMPO,19.94725235,-100.16736026
CHILÓN,CHIAPAS,17.10619426,-92.2756123
SAN BUENAVENTURA,COAHUILA DE ZARAGOZA,27.06122128,-101.54945635
SANTA MARÍA ATZOMPA,OAXACA,17.0921269,-96.76672233
COLÓN,QUERÉTARO,20.70763037,-100.02162799
TAMUÍN,SAN LUIS POTOSÍ,22.00332862,-98.7758619
SANTA CATARINA,NUEVO LEÓN,25.70965906,-100.49182238
JIQUIPILCO,MÉXICO,19.55857771,-99.60815473
AMEALCO DE BONFIL,QUERÉTARO,20.18706232,-100.14565921
SABINAS,COAHUILA DE ZARAGOZA,27.89531221,-101.15931966
SAN JUAN DE SABINAS,COAHUILA DE ZARAGOZA,27.93412112,-101.22493316
CADEREYTA JIMÉNEZ,NUEVO LEÓN,25.58212583,-100.00139836
HUIMILPAN,QUERÉTARO,20.37585239,-100.27479132
LINARES,NUEVO LEÓN,24.85940588,-99.56404321
NACAJUCA,TABASCO,18.04882809,-92.92889943
TIHUATLÁN,VERACRUZ DE IGNACIO DE LA LLAVE,20.71789308,-97.53741725
ALMOLOYA DE JUÁREZ,MÉXICO,19.37016737,-99.76012842
JALAPA,TABASCO,17.72263217,-92.80995805
XILITLA,SAN LUIS POTOSÍ,21.38554167,-98.99202952
HUATABAMPO,SONORA,26.82666584,-109.64217094
EMPALME,SONORA,27.95776462,-110.81506378
GUACHOCHI,CHIHUAHUA,26.82127071,-107.06897739
AMATLÁN DE LOS REYES,VERACRUZ DE IGNACIO DE LA LLAVE,18.8446189,-96.91606015
TEMOAYA,MÉXICO,19.4668783,-99.59430149
HUIMANGUILLO,TABASCO,18.09897755,-94.04715945
LORETO,ZACATECAS,22.27391033,-101.98617199
CUNDUACÁN,TABASCO,18.10189738,-93.32451222
FELIPE CARRILLO PUERTO,QUINTANA ROO,19.84247269,-88.13283172
MANUEL DOBLADO,GUANAJUATO,20.72694389,-101.95343754
TEKAX,YUCATÁN,20.20388094,-89.28721536
CASTAÑOS,COAHUILA DE ZARAGOZA,26.78759956,-101.42887636
